collaped_address,num_associated,latitude,longitude
100 ADAIR RD,36,43.61593765,-79.321369
100 NANTUCKET BLVD,14,43.61593765,-79.321369
20900 QUEEN ST E,1,43.61593765,-79.321369
100 LEPAGE CT,1,43.61593765,-79.321369
100 MARKHALL AVE,5,43.61593765,-79.321369
100 BAMBURGH CRCL,24,43.61593765,-79.321369
700 MONARCH PARK AVE,3,43.61593765,-79.321369
200 RUSTY CRESTWAY,20,43.61593765,-79.321369
600 FALKIRK ST,4,43.61593765,-79.321369
100 SULLIVANS T,1,43.61593765,-79.321369
300 RAGLAN AVE,14,43.61593765,-79.321369
100a BASTEDO AVE,1,43.61593765,-79.321369
100 JANSUSIE RD,27,43.61593765,-79.321369
500 SILVERDALE DR,1,43.61593765,-79.321369
100 GLEN STEWART AVE,47,43.61593765,-79.321369
100 PELHAM PARK GDN,2,43.61593765,-79.321369
100 WHITE BIRCH RD,26,43.61593765,-79.321369
3400 ABBEYWOOD TRL,1,43.61593765,-79.321369
600 COMMISSONERS ST,1,43.61593765,-79.321369
100 DEWSBURY CRES,7,43.61593765,-79.321369
100 VIRGO STARWAY,5,43.61593765,-79.321369
1000 LAKESHROE BLVD W,1,43.61593765,-79.321369
100 HUNDER GROVE,1,43.61593765,-79.321369
100 ERIDNALE AV,1,43.61593765,-79.321369
100 SALVI CRT,8,43.61593765,-79.321369
100 VALLEY WOODRS RD,1,43.61593765,-79.321369
800 YYORK MILLS RD,1,43.61593765,-79.321369
100 DENSLEY AVE,28,43.61593765,-79.321369
100 ST BARTHOMEW ST,1,43.61593765,-79.321369
100 OLD YONGE ST,23,43.61593765,-79.321369
500 DUPLX AV,1,43.61593765,-79.321369
100 CROCKER AVE,30,43.61593765,-79.321369
400A KINGSTON RD,2,43.61593765,-79.321369
100a WENDOVER RD,3,43.61593765,-79.321369
100 HOLMESDALE CR,3,43.61593765,-79.321369
100 RED HAWK RD,62,43.61593765,-79.321369
200 SHAUGHNESSY BLV,2,43.61593765,-79.321369
400* SHAW ST,1,43.61593765,-79.321369
100 SCRIVENER SQURRE,1,43.61593765,-79.321369
100o100 YORKVILLE AVE,1,43.61593765,-79.321369
200 EILLEEN AVE,1,43.61593765,-79.321369
100 WALEPOLE AVE,1,43.61593765,-79.321369
100 KINGS COLLEGE CRD,2,43.61593765,-79.321369
100 EDMIRVISH WAY,1,43.61593765,-79.321369
1300 LYNN WILLIAMS ST,1,43.61593765,-79.321369
3100 FICH AVE W,1,43.61593765,-79.321369
300q YONGE ST,3,43.61593765,-79.321369
100 COLONEL SMITH SAMUETH RECEIPS,1,43.61593765,-79.321369
300 BROOKE ST,2,43.61593765,-79.321369
1100 TANDRIDGE CRST,1,43.61593765,-79.321369
300 BOOTH AV,3,43.61593765,-79.321369
300 LAKESHORE BLE,1,43.61593765,-79.321369
2200 - YONGE ST,1,43.61593765,-79.321369
100r ATLANTIC AVE,1,43.61593765,-79.321369
300 HURO ST,1,43.61593765,-79.321369
100 NIXON HTS N/S,1,43.61593765,-79.321369
3500 LAKESHORE BLVD W,2,43.61593765,-79.321369
100 GORDON MACKAY,2,43.61593765,-79.321369
#100 CANDLE LITEWAY,1,43.61593765,-79.321369
1200 SANDHURST CRICLE,1,43.61593765,-79.321369
1000 EGLINTON AVENUE EAST,1,43.61593765,-79.321369
700 HARBORD ST,6,43.61593765,-79.321369
100 ST HUBERT,3,43.61593765,-79.321369
100 DURRINGTON CRES,15,43.61593765,-79.321369
2700 LAWRENCE AVE W,4,43.61593765,-79.321369
$100 MARKHAM ST,1,43.61593765,-79.321369
100b VIEW GREEN CRES,2,43.61593765,-79.321369
700 INDEX RD,1,43.61593765,-79.321369
100 LIVINGSTON AV,1,43.61593765,-79.321369
3100 EGLINTON AV EAST,1,43.61593765,-79.321369
100 NORTHTOWN WY,2,43.61593765,-79.321369
